y,x,frame,t,vial,w1118,m,2,1
58.11,54.95,0,0.0,1,w1118,m,2,
41.29,65.92,0,0.0,1,w1118,m,2,
19.53,93.32,0,0.0,1,w1118,m,2,
19.47,50.97,0,0.0,1,w1118,m,2,
19.03,79.64,0,0.0,1,w1118,m,2,
17.44,101.91,0,0.0,1,w1118,m,2,
11.44,39.95,0,0.0,1,w1118,m,2,
11.18,72.08,0,0.0,1,w1118,m,2,
10.11,93.77,0,0.0,1,w1118,m,2,
60.12,54.7,1,0.04,1,w1118,m,2,
44.15,65.93,1,0.04,1,w1118,m,2,
25.85,93.78,1,0.04,1,w1118,m,2,
23.05,50.67,1,0.04,1,w1118,m,2,
18.3,77.57,1,0.04,1,w1118,m,2,
17.38,102.85,1,0.04,1,w1118,m,2,
12.01,38.74,1,0.04,1,w1118,m,2,
11.11,69.09,1,0.04,1,w1118,m,2,
10.23,94.72,1,0.04,1,w1118,m,2,
9.12,77.89,1,0.04,1,w1118,m,2,
63.04,54.91,2,0.08,1,w1118,m,2,
50.93,66.53,2,0.08,1,w1118,m,2,
28.93,94.16,2,0.08,1,w1118,m,2,
26.11,50.07,2,0.08,1,w1118,m,2,
18.7,78.01,2,0.08,1,w1118,m,2,
17.29,105.01,2,0.08,1,w1118,m,2,
13.11,38.16,2,0.08,1,w1118,m,2,
11.42,68.01,2,0.08,1,w1118,m,2,
10.23,94.79,2,0.08,1,w1118,m,2,
10.01,76.04,2,0.08,1,w1118,m,2,
8.62,104.77,2,0.08,1,w1118,m,2,
65.12,55.05,3,0.12,1,w1118,m,2,
50.95,67.0,3,0.12,1,w1118,m,2,
30.77,94.35,3,0.12,1,w1118,m,2,
28.1,50.08,3,0.12,1,w1118,m,2,
18.68,77.94,3,0.12,1,w1118,m,2,
17.2,105.9,3,0.12,1,w1118,m,2,
12.94,37.77,3,0.12,1,w1118,m,2,
10.96,64.96,3,0.12,1,w1118,m,2,
10.24,74.24,3,0.12,1,w1118,m,2,
9.45,96.18,3,0.12,1,w1118,m,2,
67.16,55.22,4,0.16,1,w1118,m,2,
50.13,66.8,4,0.16,1,w1118,m,2,
32.6,50.01,4,0.16,1,w1118,m,2,
27.33,93.6,4,0.16,1,w1118,m,2,
19.23,78.07,4,0.16,1,w1118,m,2,
13.22,37.25,4,0.16,1,w1118,m,2,
10.08,60.88,4,0.16,1,w1118,m,2,
9.88,74.39,4,0.16,1,w1118,m,2,
8.82,98.71,4,0.16,1,w1118,m,2,
1.69,38.05,4,0.16,1,w1118,m,2,
71.08,54.74,5,0.2,1,w1118,m,2,
52.18,66.72,5,0.2,1,w1118,m,2,
34.91,49.97,5,0.2,1,w1118,m,2,
29.24,93.15,5,0.2,1,w1118,m,2,
19.31,78.27,5,0.2,1,w1118,m,2,
14.02,37.28,5,0.2,1,w1118,m,2,
10.25,74.23,5,0.2,1,w1118,m,2,
10.04,56.89,5,0.2,1,w1118,m,2,
8.49,99.03,5,0.2,1,w1118,m,2,
74.06,54.91,6,0.24,1,w1118,m,2,
54.22,66.94,6,0.24,1,w1118,m,2,
37.78,51.01,6,0.24,1,w1118,m,2,
32.13,93.17,6,0.24,1,w1118,m,2,
25.9,78.69,6,0.24,1,w1118,m,2,
18.8,36.65,6,0.24,1,w1118,m,2,
10.17,75.03,6,0.24,1,w1118,m,2,
9.86,53.88,6,0.24,1,w1118,m,2,
8.81,100.65,6,0.24,1,w1118,m,2,
77.02,54.68,7,0.28,1,w1118,m,2,
55.24,67.15,7,0.28,1,w1118,m,2,
37.16,50.94,7,0.28,1,w1118,m,2,
33.16,93.01,7,0.28,1,w1118,m,2,
25.12,78.59,7,0.28,1,w1118,m,2,
19.26,36.14,7,0.28,1,w1118,m,2,
10.15,74.33,7,0.28,1,w1118,m,2,
8.8,49.12,7,0.28,1,w1118,m,2,
8.27,100.9,7,0.28,1,w1118,m,2,
2.98,108.18,7,0.28,1,w1118,m,2,
75.28,54.14,8,0.32,1,w1118,m,2,
57.16,67.22,8,0.32,1,w1118,m,2,
40.21,51.83,8,0.32,1,w1118,m,2,
33.23,92.98,8,0.32,1,w1118,m,2,
23.44,78.69,8,0.32,1,w1118,m,2,
20.07,36.12,8,0.32,1,w1118,m,2,
9.96,74.31,8,0.32,1,w1118,m,2,
8.36,46.07,8,0.32,1,w1118,m,2,
7.85,101.86,8,0.32,1,w1118,m,2,
81.99,54.21,9,0.36,1,w1118,m,2,
58.22,67.18,9,0.36,1,w1118,m,2,
42.21,52.76,9,0.36,1,w1118,m,2,
39.85,92.83,9,0.36,1,w1118,m,2,
28.09,78.85,9,0.36,1,w1118,m,2,
20.21,36.03,9,0.36,1,w1118,m,2,
10.22,75.06,9,0.36,1,w1118,m,2,
7.96,103.66,9,0.36,1,w1118,m,2,
7.91,41.3,9,0.36,1,w1118,m,2,
83.08,53.97,10,0.4,1,w1118,m,2,
60.26,67.75,10,0.4,1,w1118,m,2,
