y,x,mass,size,ecc,signal,raw_mass,ep,frame,t,True_particle,vial
314.25,60.09,644,14220,0.255,47.6,644,0.0,0,0.0,True,1.0
327.04,95.02,419,14220,0.438,31.92,419,0.0,0,0.0,True,1.0
331.86,120.54,375,14220,0.05,27.63,375,0.0,0,0.0,False,0.0
334.24,100.31,475,14220,0.108,28.38,475,0.0,0,0.0,False,0.0
334.73,33.01,497,14220,0.421,34.54,497,0.0,0,0.0,True,1.0
336.17,68.77,484,14220,0.33,40.14,484,0.0,0,0.0,True,1.0
335.9,81.12,438,14220,0.507,31.36,438,0.0,0,0.0,True,1.0
344.34,64.45,247,14220,0.282,20.35,247,0.0,0,0.0,False,0.0
343.66,64.13,265,14220,0.326,19.24,265,0.0,1,0.04,False,0.0
336.44,67.81,447,14220,0.258,34.84,447,0.0,1,0.04,True,1.0
335.42,79.07,405,14220,0.391,30.03,405,0.0,1,0.04,True,1.0
334.24,101.15,472,14220,0.136,25.71,472,0.0,1,0.04,False,0.0
331.76,120.62,350,14220,0.029,27.87,350,0.0,1,0.04,False,0.0
326.15,98.0,485,14220,0.503,42.14,485,0.0,1,0.04,True,1.0
312.03,59.06,669,14220,0.286,42.3,669,0.0,1,0.04,True,1.0
333.4,31.34,386,14220,0.357,28.87,386,0.0,1,0.04,False,0.0
340.99,35.78,165,14220,0.572,16.57,165,0.0,2,0.08,False,0.0
348.1,88.88,132,14220,0.614,12.23,132,0.0,2,0.08,False,0.0
344.81,25.84,137,14220,0.488,13.02,137,0.0,2,0.08,False,0.0
343.35,64.06,314,14220,0.411,23.67,314,0.0,2,0.08,False,0.0
333.38,102.28,493,14220,0.197,32.35,493,0.0,2,0.08,True,1.0
335.16,79.97,445,14220,0.511,35.11,445,0.0,2,0.08,True,1.0
333.12,32.95,439,14220,0.278,28.41,439,0.0,2,0.08,False,0.0
331.34,120.63,308,14220,0.123,27.82,308,0.0,2,0.08,False,0.0
325.67,100.02,671,14220,0.491,50.11,671,0.0,2,0.08,True,1.0
326.12,77.0,143,14220,0.631,12.82,143,0.0,2,0.08,False,0.0
312.71,58.11,614,14220,0.177,40.05,614,0.0,2,0.08,True,1.0
333.52,62.71,506,14220,0.086,32.94,506,0.0,2,0.08,True,1.0
343.82,63.91,254,14220,0.444,19.53,254,0.0,3,0.12,False,0.0
335.2,102.16,487,14220,0.229,28.11,487,0.0,3,0.12,False,0.0
334.9,62.41,528,14220,0.177,32.12,528,0.0,3,0.12,True,1.0
335.7,79.95,446,14220,0.462,33.04,446,0.0,3,0.12,True,1.0
331.26,120.59,370,14220,0.162,32.67,370,0.0,3,0.12,True,1.0
325.69,103.91,592,14220,0.488,46.54,592,0.0,3,0.12,True,1.0
